,Open,High,Low,Close
2020-01-01,150.0,151.23044878176768,149.67139678634723,150.97758761939028
2020-01-02,150.97758761939028,151.13546162215283,150.69534969890339,150.75070741264494
2020-01-03,150.75070741264494,152.98958816428535,150.58785782410507,152.02207370126698
2020-01-06,152.02207370126698,156.09926494096624,151.5069307151846,155.00419790771252
2020-01-07,155.00419790771252,155.05315775814947,153.34372994130695,154.5844022163595
2020-01-08,154.5844022163595,156.03164032069168,153.28387211374744,154.16577534012038
2020-01-09,154.16577534012038,157.38300724157082,153.3754171654811,157.30125575975262
2020-01-10,157.30125575975262,159.7273059158594,156.83959415533172,158.8673627035556
2020-01-13,158.8673627035556,159.99382845077943,156.49619775858022,157.9680711369147
2020-01-14,157.9680711369147,160.47507284750586,157.34091413414887,159.08945283418353
2020-01-15,159.08945283418353,160.2254898272734,158.06319389444312,158.20097550110492
2020-01-16,158.20097550110492,159.46931714938765,156.34215254305388,157.31287763649004
2020-01-17,157.31287763649004,158.3664989321212,157.13379518385685,157.8307421739201
2020-01-20,157.8307421739201,159.1167866983657,153.57637995568953,154.1083978099303
2020-01-21,154.1083978099303,154.23186151610162,150.0660264373501,150.83136277942367
2020-01-22,150.83136277942367,152.18102693613704,148.4926831792618,149.80228852806806
2020-01-23,149.80228852806806,150.6225944393516,147.2079606451228,147.93810409892305
2020-01-24,147.93810409892305,149.7745210269073,146.8991957945873,148.56034067551764
2020-01-27,148.56034067551764,149.23230625993568,145.4469617528796,146.90546393624837
2020-01-28,146.90546393624837,147.85091473516704,144.15920254312428,144.34900578040643
2020-01-29,144.34900578040643,147.8484514765305,143.95243355475367,147.07424871772858
2020-01-30,147.07424871772858,148.15022851054786,146.11260155725165,146.6914107691032
2020-01-31,146.6914107691032,146.97110036290815,146.07262506298295,146.85122573373002
2020-02-03,146.85122573373002,146.939853508826,143.68009688880895,144.27308969338554
2020-02-04,144.27308969338554,144.62959316382424,142.020289120386,143.32108707566843
2020-02-05,143.32108707566843,143.78472867772064,142.2977277275434,143.55569320621052
2020-02-06,143.55569320621052,144.8071881484898,140.6623588028748,141.52268256933482
2020-02-07,141.52268256933482,142.5397903240988,141.08484999987775,142.22800663960425
2020-02-10,142.22800663960425,143.61596034044427,140.02628942609897,141.18939407805428
2020-02-11,141.18939407805428,141.66505520513036,139.36115546268866,140.7049730984475
2020-02-12,140.7049730984475,140.96122206272474,138.52858946955917,139.67560312355144
2020-02-13,139.67560312355144,144.13684881691051,139.67341705343574,143.00752056193147
2020-02-14,143.00752056193147,143.95931776927137,142.09741874161003,143.017252009974
2020-02-17,143.017252009974,143.72975783327666,141.08548339953379,141.15766490992024
2020-02-18,141.15766490992024,143.45435694002256,140.79403257305782,142.66206383645948
